ID,fold
ID_train_0,3
ID_train_1,0
ID_train_10,1
ID_train_100,1
ID_train_1000,1
ID_train_10000,2
ID_train_10001,3
ID_train_10002,2
ID_train_10003,2
ID_train_10004,1
ID_train_10005,0
ID_train_10006,0
ID_train_10007,2
ID_train_10008,2
ID_train_10009,1
ID_train_1001,2
ID_train_10010,1
ID_train_10011,0
ID_train_10012,2
ID_train_10013,3
ID_train_10014,3
ID_train_10015,2
ID_train_10016,3
ID_train_10017,3
ID_train_10018,4
ID_train_10019,4
ID_train_1002,2
ID_train_10020,0
ID_train_10021,0
ID_train_10022,4
ID_train_10023,2
ID_train_10024,2
ID_train_10025,2
ID_train_10026,4
ID_train_10027,1
ID_train_10028,1
ID_train_10029,0
ID_train_1003,2
ID_train_10030,1
ID_train_10031,0
ID_train_10032,3
ID_train_10033,3
ID_train_10034,1
ID_train_10035,0
ID_train_10036,3
ID_train_10037,3
ID_train_10038,1
ID_train_10039,1
ID_train_1004,3
ID_train_10040,1
ID_train_10041,2
ID_train_10042,4
ID_train_10043,4
ID_train_10044,4
ID_train_10045,1
ID_train_10046,1
ID_train_10047,2
ID_train_10048,2
ID_train_10049,1
ID_train_1005,1
ID_train_10050,0
ID_train_10051,0
ID_train_10052,4
ID_train_10053,3
ID_train_10054,1
ID_train_10055,0
ID_train_10056,0
ID_train_10057,4
ID_train_10058,0
ID_train_10059,4
ID_train_1006,3
ID_train_10060,1
ID_train_10061,1
ID_train_10062,0
ID_train_10063,0
ID_train_10064,2
ID_train_10065,0
ID_train_10066,4
ID_train_10067,1
ID_train_10068,4
ID_train_10069,2
ID_train_1007,3
ID_train_10070,2
ID_train_10071,0
ID_train_10072,0
ID_train_10073,4
ID_train_10074,2
ID_train_10075,1
ID_train_10076,0
ID_train_10077,3
ID_train_10078,0
ID_train_10079,3
ID_train_1008,0
ID_train_10080,4
ID_train_10081,2
ID_train_10082,1
ID_train_10083,1
ID_train_10084,3
ID_train_10085,4
ID_train_10086,1
ID_train_10087,3
ID_train_10088,0
ID_train_10089,1
ID_train_1009,4
ID_train_10090,1
ID_train_10091,1
ID_train_10092,1
ID_train_10093,1
ID_train_10094,4
ID_train_10095,1
ID_train_10096,0
